"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          77,      -1.555557071,      0.9996746416,      0.9086436925,       3.926922797
          0,           0,          78,      -1.631394617,      0.8444570466,      0.8130888888,       3.832257687
          0,           0,          79,      -1.557464777,       0.928911834,      0.8171161604,       3.913985607
          0,           0,          80,       -1.56863378,        1.01596709,      0.8268938822,       3.948984017
          0,           0,          81,      -1.538858495,       1.073564461,      0.9167365375,       3.949972991
          0,           0,          82,      -1.571161535,        1.01068634,      0.9208707602,       3.896413332
          0,           0,          83,      -1.562398454,      0.9137791554,      0.9425065703,       3.877149492
          0,           0,          84,      -1.502421094,       1.030714017,      0.9439566716,       3.942485199
          0,           0,          85,      -1.317736803,       1.158173487,       1.123793552,       4.105237111
          0,           0,          86,      -1.349636091,       1.181752537,       1.064638828,       4.124618115
          0,           0,          87,      -1.399188167,       1.124161681,       1.013321301,       4.096810218
          0,           0,          88,      -1.414270154,       1.086327057,      0.9372046656,       4.055573078
          0,           0,          89,      -1.351223249,       1.213486335,      0.9872764703,       4.094049178
          0,           0,          90,      -1.404350055,       1.138916822,       1.062565796,       4.077846099
          0,           0,          91,      -1.311535971,       1.263051971,       1.185270237,       4.178421788
          0,           0,          92,      -1.424464838,        1.01148054,        1.00233173,       4.017706612
          0,           0,          93,      -1.390224175,       1.096315577,       0.991544977,       4.031954838
          0,           0,          94,      -1.368755935,       1.153513968,       1.020066136,       4.063522333
          0,           0,          95,       -1.55672931,       1.240529119,      0.7537149592,       3.965997215
          0,           0,          96,      -1.659473339,       0.979494191,      0.7484081848,       3.834632824
          0,           0,          97,      -1.746447622,      0.9486521132,      0.6368531434,       3.729444846
          0,           0,          98,      -1.708813379,      0.9649362356,       0.611001947,       3.749457203
          0,           0,          99,      -1.610417951,       1.012928054,      0.7725803168,         3.8076164
          0,           0,         100,      -1.492716732,      0.9103445455,      0.6864857801,       3.851016094
          0,           0,         101,      -1.404176131,       1.167477729,      0.9351213624,       3.995472458
          0,           0,         102,      -1.551183357,       1.094917974,      0.8691271568,       3.865309764
          0,           0,         103,      -1.686364921,       1.000272791,      0.8015625206,       3.749170866
          0,           0,         104,      -1.787697872,      0.9118483339,      0.6999174031,       3.654742614
          0,           0,         105,      -1.841151871,       0.872371501,      0.5794071454,       3.609152542
          0,           0,         106,      -1.884936362,      0.8787047238,      0.5060622375,       3.581836129
          0,           0,         107,      -1.911092782,      0.8771235532,      0.4803640181,       3.546186906
          0,           0,         108,      -1.925575119,      0.8656125879,      0.4713346725,       3.523046272
          0,           0,         109,      -1.908402938,      0.8449764832,      0.4629129474,       3.546339583
          0,           0,         110,      -1.871667098,      0.8208040423,      0.4928720591,       3.590846266
          0,           0,         111,      -1.888556151,       0.759681079,      0.4963171568,       3.566787752
          0,           0,         112,      -1.963701774,      0.7220828451,      0.4990473803,       3.497761724
          0,           0,         113,      -2.024641686,      0.6633503093,       0.455014373,       3.450351485
          0,           0,         114,      -2.111735206,      0.5964804886,      0.3971507001,       3.373490114
          0,           0,         115,      -2.175898593,      0.4976591682,      0.3346751026,       3.314251876
          0,           0,         116,      -2.196749753,      0.4182380604,      0.3062573992,       3.309183039
          0,           0,         117,      -2.204365962,       0.346507487,      0.2603946694,       3.295542479
          0,           0,         118,      -2.187442132,      0.2590709306,      0.2757663451,       3.308755455
          0,           0,         119,      -2.196955985,      0.1679478803,      0.1849339031,       3.292943434
          0,           0,         120,      -2.355148042,     0.05059361725,      0.1703158685,       3.140905268
          0,           0,         121,      -2.477638571,    -0.08600319017,     0.05120489808,       3.023614412
          0,           0,         122,      -2.227190989,      0.1460661101,      0.2123359106,        3.27270237
          0,           0,         123,      -2.435013898,     -0.2040596285,      0.2223108256,       3.088515641
          0,           0,         124,      -2.358538427,    -0.03923669157,      0.1102666439,       3.161617637
          0,           0,         125,      -1.665669847,      0.7686394926,      0.7750670471,       3.770292814
          0,           0,         126,       -1.60859663,      0.9350293827,      0.6815641727,       3.896283785
          0,           0,         127,      -1.628399325,      0.9837239864,      0.8616230594,       3.844917479
          0,           0,         128,      -1.920975068,      0.5124570381,      0.6318468675,        3.56079101
          0,           0,         129,      -2.011484938,      0.3302277216,      0.6165031431,       3.462736473
          0,           0,         130,      -2.027843697,      0.1660148329,      0.2423560431,       3.431269001
          0,           0,         131,      -2.418095321,     -0.1242227158,     0.07312097117,       3.050357256
          0,           0,         132,      -2.542509006,     -0.2912668451,    -0.03799719911,       2.893534201
          0,           0,         133,       -2.60426482,     -0.3186490891,     -0.1288492261,       2.824372058
          0,           0,         134,       -2.58946597,     -0.2131537509,     -0.1341104551,       2.851012456
          0,           0,         135,      -2.508002076,     -0.1498645991,      -0.129121615,       2.928132534
          0,           0,         136,      -2.414518181,      0.0190678832,     -0.1235941209,       3.041451945
          0,           0,         137,      -2.310432398,     0.08550191032,    -0.08873222464,       3.131977716
          0,           0,         138,      -2.173635752,      0.3092233367,    -0.08509942775,       3.298435006
          0,           0,         139,      -2.065647356,      0.3403202596,    -0.05399901559,       3.367778447
          0,           0,         140,      -1.888107068,      0.6271674932,    -0.02482977729,       3.589313152
          0,           0,         141,      -1.847093734,      0.5284695701,     0.02617705529,       3.563413881
          0,           0,         142,      -2.134769324,      0.3210134287,      0.0987372149,       3.378717242
          0,           0,         143,       -2.34520359,     0.03465013744,     -0.0456885323,       3.090820846
          0,           0,         144,      -2.475925253,   -0.005332200496,      -0.130090024,       2.957092546
          0,           0,         145,      -2.481038685,    -0.01065979736,     -0.1214700712,       2.929006293
          0,           0,         146,      -2.460572173,     0.01935867798,    -0.09189664789,         2.9352114
          0,           0,         147,       -2.43110854,     0.05927327856,    -0.05801376322,       2.955803285
          0,           0,         148,      -2.388889658,      0.1143585489,    -0.01842778007,        2.99718977
          0,           0,         149,      -2.348841184,      0.1633522074,     0.02132586163,       3.035063077
          0,           0,         150,      -2.301352121,       0.225497337,     0.06166607765,       3.088481335
          0,           0,         151,      -2.254028031,      0.2785349043,      0.1027230911,       3.134239044
          0,           0,         152,      -2.205767429,      0.3428934826,      0.1363199775,       3.197029403
          0,           0,         153,      -2.159755686,       0.388090761,      0.1619300726,       3.241625656
          0,           0,         154,      -2.098848341,      0.4608479364,      0.1753616285,       3.319916406
          0,           0,         155,       -2.04453789,      0.4958792372,      0.1680896862,       3.355767293
          0,           0,         156,      -1.880009981,      0.6536039728,      0.3375656809,       3.581165504
          0,           0,         157,      -1.869649438,      0.6279998307,      0.3157348319,        3.52566132
          0,           0,         158,      -1.846603497,      0.6917604998,      0.2729209337,       3.542226303
          0,           0,         159,      -1.771153521,      0.6933805278,      0.3167029846,       3.522416064
          0,           0,         160,      -1.840305239,      0.7299320334,      0.3269193105,       3.472648523
          0,           0,         161,      -1.797935256,      0.7649287208,      0.3503063844,       3.469991099
          0,           0,         162,      -1.735906446,       0.851850804,      0.3901816395,       3.586369306
          0,           0,         163,      -1.683096626,       0.891525227,      0.4310729004,       3.604596307
          0,           0,         164,      -1.674841813,      0.9463785046,      0.5025435622,       3.607381675
          0,           0,         165,      -1.627357621,      0.9951691937,      0.5692105656,       3.578340795
          0,           0,         166,      -1.571740071,       1.058905277,      0.5931748163,       3.622003283
          0,           0,         167,      -1.510794875,       1.121803466,      0.6469252034,        3.65000121
          0,           0,         168,      -1.456506046,       1.185938649,      0.6786944266,       3.685709892
          0,           0,         169,      -1.363977353,       1.256604944,      0.7292919724,       3.796929519
          0,           0,         170,      -1.073165383,       1.366537861,      0.8868925906,       3.841770855
          0,           0,         171,      -1.215372348,        1.43083349,       0.856997359,       3.914762818
          0,           0,         172,      -1.118063552,        1.52349222,      0.9472650395,       3.973001659
          0,           0,         173,      -1.047266972,       1.596860291,       1.033555466,        4.00751516
          0,           0,         174,      -0.982632505,       1.667307599,       1.113963267,       4.060892587
          0,           0,         175,     -0.8769307437,       1.784898861,       1.220928514,       4.180141792
          0,           0,         176,     -0.7153652487,       1.947615414,       1.377518319,       4.339849443
          0,           0,         177,     -0.6989456998,       1.961270018,       1.403020854,         4.3478532
          0,           0,         178,     -0.6717384333,       1.985170971,        1.43535335,       4.366765486
          0,           0,         179,     -0.6431267559,       2.010022274,       1.465330874,        4.38700126
          0,           0,         180,     -0.6205779199,       2.029581607,       1.485842116,       4.402995231
          0,           0,         181,      -0.599742105,       2.051499247,       1.501122365,        4.42533054
          0,           0,         182,     -0.5541238756,        2.10762489,        1.54222669,       4.491074651
          0,           0,         183,     -0.4375782262,       2.238550693,       1.664986757,       4.635948454
          0,           0,         184,     -0.2618476935,       2.414697835,       1.841956889,       4.814368106
          0,           0,         185,     -0.1983932135,       2.471845659,        1.88233749,       4.866790953
          0,           0,         186,     -0.2128103797,       2.450890483,       1.879011763,       4.839501005
          0,           0,         187,     -0.2280237614,        2.43088557,       1.868301066,       4.814919786
          0,           0,         188,     -0.2398238876,       2.416557343,       1.856274999,       4.797727763
          0,           0,         189,     -0.2417200104,       2.418753376,       1.852828516,       4.802506043
          0,           0,         190,      -0.131816261,       2.552230568,       1.974303513,       4.958258768
          0,           0,         191,      0.2514648736,       2.936212404,       2.367114731,        5.34668934
          0,           0,         192,      0.1832732185,       2.863723273,       2.276116215,       5.268616637
          0,           0,         193,      0.1009435722,       2.775665655,        2.19764758,       5.174747745
          0,           0,         194,     0.02843410445,       2.697214459,       2.128018605,       5.090719078
          0,           0,         195,    0.005268774288,       2.671547591,       2.098894985,       5.063072558
          0,           0,         196,    0.002034766677,       2.664119783,       2.092186338,       5.051301901
          0,           0,         197,   -0.004201486991,       2.661004617,       2.084282332,       5.048814298
          0,           0,         198,     0.03949940894,       2.704566842,       2.125901679,       5.092417516
          0,           0,         199,     0.08587906804,       2.749725005,       2.166116694,       5.136128519
          0,           0,         200,       0.185870166,       2.850840426,       2.259575129,       5.239024041
          0,           0,         201,      0.3968768081,       3.066379926,       2.459138019,       5.459266481
          0,           0,         202,      0.8671150682,       3.537092397,       2.924838569,       5.931328151
          0,           0,         203,       0.652558315,       3.320743522,       2.708343738,       5.713389615
          0,           0,         204,      0.4907991847,       3.154487412,       2.559391396,       5.545847993
          0,           0,         205,      0.4617939355,       3.125408133,       2.532973927,       5.516413413
          0,           0,         206,      0.9738413469,       3.642478522,       3.058436092,       6.038260265
          0,           0,         207,      0.6072387214,       3.277161354,        2.64654545,        5.67186583
          0,           0,         208,      0.8896519681,       3.556783296,       2.975577984,       5.951835208
          0,           0,         209,        0.65785763,       3.331905083,       2.590697604,       5.719000899
          0,           0,         210,      0.8335586671,       3.504679996,       2.853046977,       5.894312539
          0,           0,         211,      0.9553456369,       3.632555142,       2.833086512,       6.018647999
          0,           0,         212,       1.456889694,       4.136506054,       3.237331325,       6.521677646
          0,           0,         213,      0.7690468327,        3.44236561,       2.722724896,       5.827558101
          0,           0,         214,      0.6762574406,       3.347016501,       2.690475777,       5.734322295
          0,           0,         215,      0.6164137454,       3.285036532,       2.672573053,       5.674375303
          0,           0,         216,      0.6062582158,       3.273560775,       2.680164528,       5.664178006
          0,           0,         217,      0.6159664053,       3.283602244,       2.685898042,       5.673352588
          0,           0,         218,      0.9765777431,       3.643525485,        3.06006604,       6.037194216
          0,           0,         219,      0.7229928743,       3.389920482,       2.819518116,       5.784286717
          0,           0,         220,       1.155231357,       3.819980387,       3.253212013,       6.214283022
          0,           0,         221,      0.9148204562,       3.582054996,       2.986222749,       5.974834698
          0,           0,         222,      0.9853858593,       3.652138293,       3.068691296,       6.044586856
          0,           0,         223,       1.182308832,       3.849008136,       3.229464096,       6.238845378
          0,           0,         224,       1.095078747,       3.760955105,       3.203690308,       6.157625143
          0,           0,         225,       1.343264293,       4.008434473,       3.463485712,       6.405998186
          0,           0,         226,       1.278293001,       3.943629647,         3.4043454,        6.34288538
          0,           0,         227,       1.227251996,        3.89291288,        3.35370257,       6.292696885
          0,           0,         228,        1.44315315,       4.108134903,       3.548432375,       6.504079107
          0,           0,         229,        1.34902559,       4.014647644,       3.448061292,       6.410324515
          0,           0,         230,       1.128703012,       3.795315772,       3.251110101,        6.19525595
          0,           0,         231,       1.114394773,        3.78218962,       3.238546819,       6.183810004
          0,           0,         232,       1.092439658,       3.761209637,       3.209044256,       6.161996979
          0,           0,         233,        2.25750032,       4.927683877,       4.339550376,       7.324968117
          0,           0,         234,       1.512990242,       4.187231785,       3.567180379,       6.584046708
          0,           0,         235,      0.9340407475,       3.602576578,       3.053167551,       6.001165817
          0,           0,         236,      0.9820164383,       3.652362841,       3.096008657,       6.052162512
          0,           0,         237,      0.9182375225,       3.586778223,       3.043975773,       5.986585633
          0,           0,         238,        1.33962704,       4.010234084,        3.38329338,       6.403597183
          0,           0,         239,       1.783325857,       4.455905782,       3.867313883,        6.85555515
          0,           0,         240,       1.030379919,       3.701316423,       3.134906289,       6.099862405
          0,           0,         241,       2.036534703,       4.721126199,       4.091819842,       7.127925125
          0,           0,         242,       1.007063255,        3.67961878,       3.106951379,       6.078934643
          0,           0,         243,      0.9669004908,       3.639920998,       3.077304529,       6.041190795
          0,           0,         244,      0.9625161276,       3.634599273,       3.087440204,       6.037235602
          0,           0,         245,      0.9575802472,       3.630857179,         3.0796663,       6.034736621
          0,           0,         246,      0.9186690624,       3.592419918,       3.030101485,       5.995209542
          0,           0,         247,      0.8489126145,       3.523441172,       2.973234951,       5.929163298
          0,           0,         248,        0.95736185,       3.644065449,       3.080359629,       6.061955846
          0,           0,         249,      0.9156230167,       3.593737244,       3.021800998,       6.000584131
          0,           0,         250,      0.8694951169,       3.547606519,       2.969882666,       5.953781126
          0,           0,         251,      0.8581244134,       3.536304061,       2.961333202,        5.94312965
          0,           0,         252,       1.313014642,       3.986529332,       3.457804284,       6.395504896
          0,           0,         253,       1.713466169,       4.409534658,       3.723065635,       6.822951522
          0,           0,         254,       1.387420578,       4.059036513,       3.520937304,       6.465959022
          0,           0,         255,       2.013960364,       4.685048038,       4.156845324,       7.091645271
          0,           0,         256,       1.697100051,       4.367034908,       3.825131769,       6.770514178
          0,           0,         257,       1.952293998,       4.622657879,       4.091913942,       7.028053103
          0,           0,         258,       1.338836568,       4.008681583,       3.463935071,       6.411702461
          0,           0,         259,         1.7517318,       4.419818193,       3.859251031,       6.818549089
          0,           0,         260,       1.553415729,        4.22125305,       3.656623137,        6.61931662
          0,           0,         261,       1.247509439,       3.926401484,       3.301026252,       6.329049423
          0,           0,         262,       1.250925022,       3.921190731,        3.37896524,       6.326184167
          0,           0,         263,       1.169242046,       3.839324129,       3.277846317,       6.240587974
          0,           0,         264,       1.448329285,       4.118801359,       3.539991948,       6.523660508
          0,           0,         265,       1.453795511,       4.123711198,       3.545627727,       6.527092775
